ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_VALID;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING
100339146;10051582;410115;0;Hauptstrasse;26;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.591148607;47.46027865
100341070;10024290;410478;0;Bergmattenweg;49;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581012027;47.45860062
101084051;10107056;3029151;0;Muggenbergweg;34;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595664547;47.45810508
102001763;10177200;245062548;0;Moosackerweg;6a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.59173623;47.457076
101379290;10140408;245000084;0;Schlossgut;147;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595320528;47.45384236
100341153;10063992;410552;0;Im Jrtli;5;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.583466129;47.45886741
101084055;10063994;3029155;0;Rauracherweg;17a;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595600431;47.45885167
101608080;10152941;245000017;1;Schlosshof;121b;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593137958;47.45570705
101379241;10051581;245000035;0;Grenzweg;13a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.592452151;47.46162604
101377647;10051582;245000058;0;Hauptstrasse;20b;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.592408642;47.46033096
101152700;10051583;2351774;0;Keltenweg;18;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595229924;47.45913098
100338982;10024288;410344;0;Alter Kirchweg;3;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590301963;47.46102626
101461374;10051582;245043977;0;Hauptstrasse;54;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589314668;47.45893193
100332724;10051582;410173;0;Hauptstrasse;79;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590289981;47.45679908
101152701;10051583;2351775;0;Keltenweg;19;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595721475;47.45942712
100332786;10063994;410237;0;Rauracherweg;2;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.592205454;47.45884721
100247725;10051581;391566;0;Grenzweg;6;residential;;4148 Pfeffingen;2761;BL;real;WAHR;FALSCH;25.03.2022;7.593128992;47.46178703
100338981;10024288;410343;0;Alter Kirchweg;4;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590845938;47.4611065
101474434;10087184;245052233;0;Krebsenbachweg;9a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.590828787;47.45973943
100338931;10024301;410291;0;Steingrubenweg;12;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.594449717;47.45989653
